"","player_name","new_club","price_pounds","new_league"
"209","Paweł Jaroszyński","Chievo","369000","Serie A"
"210","Nicolás Spolli","Genoa"," ","Serie A"
"211","Mariano Izco","Crotone"," ","Serie A"
"212","Jonathan de Guzmán","Napoli"," ","Serie A"
"213","Serge Gakpé","Genoa"," ","Serie A"
"214","Giovanni Crociata","Crotone","400000","Serie A"
"215","Aleandro Rosi","Genoa"," ","Serie A"
"216","Gianmarco Ferrari","Sassuolo"," ","Serie A"
"217","Leonardo Capezzi","Sampdoria"," ","Serie A"
"218","Lorenzo Crisetig","Bologna"," ","Serie A"
"219","Diego Falcinelli","Sassuolo"," ","Serie A"
"220","Cristiano Biraghi","Fiorentina"," ","Serie A"
"221","Martin Graiciar","Fiorentina","1350000","Serie A"
"222","Dusan Vlahovic","Fiorentina"," ","Serie A"
"223","Lee Seung-woo","Verona","1380000","Serie A"
"224","Matías Fernández","Fiorentina"," ","Serie A"
"225","Stephane Omeonga","Genoa","460000","Serie A"
"226","Thomas Rodríguez","Genoa","507000","Serie A"
"227","Danilo Cataldi","Lazio"," ","Serie A"
"228","Franco Zuculini","Verona"," ","Serie A"
"229","Alex Ferrari","Verona"," ","Serie A"
"230","Deian Boldor","Bologna"," ","Serie A"
"231","Simone Ganz","Juventus"," ","Serie A"
"232","Nani","Lazio"," ","Serie A"
"233","Marco Tumminello","Crotone"," ","Serie A"
"234","Jens Odgaard","Inter"," ","Serie A"
"235","Nenad Tomovic","Chievo"," ","Serie A"
"236","Maxi López","Udinese"," ","Serie A"
"237","M'Baye Niang","Torino"," ","Serie A"
"238","Nicolás Burdisso","Torino"," ","Serie A"
"239","Yann Karamoh","Inter"," ","Serie A"
"240","Luca Antei","Benevento"," ","Serie A"
"241","Pietro Iemmello","Benevento"," ","Serie A"
"242","Mariusz Stepinski","Chievo"," ","Serie A"
"243","Duván Esteban Zapata","Sampdoria"," ","Serie A"
"244","Ivan Strinic","Sampdoria","1840000","Serie A"
"245","Federico Ricci","Genoa"," ","Serie A"
"246","Cristian Ansaldi","Torino"," ","Serie A"
"247","Moise Kean","Verona"," ","Serie A"
"248","Roberto Inglese","Napoli","11050000","Serie A"
"249","Roberto Inglese","Chievo"," ","Serie A"
"250","Asmir Begovic","Bournemouth","10000000","Premier League"
"251","Sead Kolasinac","Arsenal","0","Premier League"
"252","Jon Flanagan","Liverpool","0","Premier League"
"253","Dominic Solanke","Liverpool","0","Premier League"
"254","Jordan Pickford","Everton","25000000","Premier League"
"255","Davy Klaassen","Everton","23670000","Premier League"
"256","Tom Cleverley","Watford","8000000","Premier League"
"257","Sam Hughes","Leicester City"," ","Premier League"
"258","Harry Maguire","Leicester City","17000000","Premier League"
"259","Bernardo Silva","Manchester City","43600000","Premier League"
"260","Ederson","Manchester City","34900000","Premier League"
"261","Victor Lindelof","Manchester United","31000000","Premier League"
"262","Darren Fletcher","Stoke City","0","Premier League"
"263","Pablo Zabaleta","West Ham United","0","Premier League"
"264","Allan","Liverpool"," ","Premier League"
"265","Baba Rahman","Chelsea"," ","Premier League"
"266","Pascal Gross","Brighton","2640000","Premier League"
"267","Josh Kerr","Brighton"," ","Premier League"
"268","Mathew Ryan","Brighton","5290000","Premier League"
"269","Nathangelo Markelo","Everton"," ","Premier League"
"270","Christian Atsu","Newcastle United","6000000","Premier League"
"271","Sven Kums","Watford"," ","Premier League"
"272","Michael Hector","Chelsea"," ","Premier League"
"273","Guillermo Valera","Manchester United"," ","Premier League"
"274","Bojan Krkic","Stoke City"," ","Premier League"
"275","Mohamed Salah","Liverpool","36900000","Premier League"
"276","Laurent Depoitre","Huddersfield Town","4400000","Premier League"
"277","Will Hughes","Watford","8000000","Premier League"
"278","Rubén Sobrino","Manchester City"," ","Premier League"
"279","Erwin Mulder","Swansea City"," ","Premier League"
"280","Jermain Defoe","Bournemouth"," ","Premier League"
"281","Nathan Aké","Bournemouth","20000000","Premier League"
"282","Aaron Mooy","Huddersfield Town","8000000","Premier League"
"283","Bafétimbi Gomis","Swansea City"," ","Premier League"
"284","Henry Onyekuru","Everton","7000000","Premier League"
"285","Jonas Lössl","Huddersfield Town"," ","Premier League"
"286","Antonio Rüdiger","Chelsea","28952280","Premier League"
"287","Daniel Bachmann","Watford"," ","Premier League"
"288","Kiko Femenía","Watford"," ","Premier League"
"289","Ethan Ampadu","Chelsea"," ","Premier League"
"290","Jan Bednarek ","Southampton","5700000","Premier League"
"291","Willy Caballero","Chelsea"," ","Premier League"
"292","Jay Rodriguez","West Bromwich Albion","12000000","Premier League"
"293","Yuning Zhang","West Bromwich Albion"," ","Premier League"
"294","Sandro Ramírez","Everton","5300000","Premier League"
"295","Michael Keane","Everton","25000000","Premier League"
"296","Florian Lejeune","Newcastle United","8700000","Premier League"
"297","Vicente Iborra","Leicester City","12300000","Premier League"
"298","Connor Mahoney","Bournemouth"," ","Premier League"
"299","Tammy Abraham","Swansea City"," ","Premier League"
"300","Tom Ince","Huddersfield Town","8000000","Premier League"
"301","Kasey Palmer","Huddersfield Town"," ","Premier League"
"302","Steve Mounié","Huddersfield Town","11450000","Premier League"
"303","Danny Williams","Huddersfield Town"," ","Premier League"
"304","Josh Tymon","Stoke City"," ","Premier League"
"305","Alexandre Lacazette","Arsenal","46000000","Premier League"
"306","Boris Mathis","Everton"," ","Premier League"
"307","Scott Malone ","Huddersfield Town","3500000","Premier League"
"308","Roque Mesa","Swansea City","11000000","Premier League"
"309","Charlie Taylor","Burnley"," ","Premier League"
"310","Josef Varney","Newcastle United"," ","Premier League"
"311","Stefan O'Connor","Newcastle United"," ","Premier League"
"312","Mathias Jorgensen","Huddersfield Town","2000000","Premier League"
"313","Jonathan Walters","Burnley","3000000","Premier League"
"314","Josh Bowler","Everton"," ","Premier League"
"315","Wayne Rooney","Everton"," ","Premier League"
"316","Romelu Lukaku","Manchester United","75000000","Premier League"
